x,y
9.697,-1.006
9.729,-0.98
9.754,-0.956
9.778,-0.934
9.805,-0.912
9.831,-0.889
9.863,-0.862
9.889,-0.84
9.919,-0.816
9.95,-0.793
9.979,-0.772
10.011,-0.748
10.047,-0.724
10.079,-0.702
10.12,-0.676
10.152,-0.656
10.197,-0.629
10.238,-0.607
10.277,-0.586
10.322,-0.564
10.375,-0.539
10.418,-0.521
10.465,-0.502
10.516,-0.483
10.566,-0.465
10.619,-0.449
10.669,-0.434
10.722,-0.42
10.778,-0.406
10.827,-0.395
