x,y
1.227,-0.013
1.262,0.022
1.326,0.05
1.392,0.002
1.43,0.036
1.425,0.009
1.424,-0.006
1.427,-0.028
1.496,0.017
1.496,0.017
1.488,0.013
1.65,0.024
