x,y
7.9,8.212
8.369,8.42
8.431,7.881
8.45,7.559
8.72,7.959
8.741,8.379
8.81,8.109
8.85,8.159
9.091,8.409
9.291,8.259
9.342,8.471
9.361,8.38
9.641,8.701
