name,dZdr_K19N2O2,e_dZdr_K19N2O2,dZdr_M08R23,e_dZdr_M08R23,dZdr_M13N2,e_dZdr_M13N2
cdfs_24904,nan,nan,nan,nan,nan,nan
cdfs_26404,nan,nan,nan,nan,0.020,0.009
cdfs_26954,nan,nan,nan,nan,nan,nan
cdfs_27318,nan,nan,nan,nan,nan,nan
cdfs_28138,nan,nan,nan,nan,nan,nan
cdfs_29207,nan,nan,nan,nan,0.061,0.013
cdfs_29589,nan,nan,nan,nan,nan,nan
cdfs_29831,nan,nan,nan,nan,nan,nan
cdfs_30267,nan,nan,nan,nan,nan,nan
cdfs_30450,nan,nan,nan,nan,nan,nan
cdfs_30557,nan,nan,nan,nan,nan,nan
cdfs_30561,nan,nan,nan,nan,-0.027,0.011
cdfs_30732,nan,nan,nan,nan,nan,nan
cdfs_30865,nan,nan,nan,nan,nan,nan
cdfs_31127,0.035,0.089,nan,nan,-0.045,0.035
cdfs_31671,0.148,0.076,nan,nan,0.055,0.025
cdfs_31721,nan,nan,nan,nan,0.056,0.025
cdfs_33014,nan,nan,nan,nan,nan,nan
cdfs_33246,nan,nan,nan,nan,nan,nan
cdfs_35213,nan,nan,nan,nan,nan,nan
GS4_10784,nan,nan,nan,nan,nan,nan
GS4_16960,nan,nan,nan,nan,0.012,0.010
COS4_18969,nan,nan,nan,nan,nan,nan
cosmos_132082,nan,nan,nan,nan,0.017,0.007
COS4_19049,nan,nan,nan,nan,nan,nan
cosmos_132057,nan,nan,nan,nan,-0.177,0.037
cosmos_132520,nan,nan,nan,nan,0.000,0.015
cosmos_129899,nan,nan,nan,nan,-0.059,0.040
cosmos_132502,nan,nan,nan,nan,0.018,0.036
fmos_sf_strong_48_sha_lm,nan,nan,nan,nan,-0.133,0.058
cosmos_129410_lm,nan,nan,nan,nan,nan,nan
fmos_sf_weak_55_wha_hm,nan,nan,nan,nan,nan,nan
cosmos_128220,nan,nan,nan,nan,nan,nan
cosmos_128449,nan,nan,nan,nan,nan,nan
cosmos_125697_hm,nan,nan,nan,nan,0.037,0.012
COS4_09667,nan,nan,nan,nan,nan,nan
COS4_11696,nan,nan,nan,nan,0.010,0.041
COS4_13038,nan,nan,nan,nan,0.052,0.015
fmos_sf_weak_389_wha_mm,nan,nan,nan,nan,-0.000,0.015
cosmos_129830_sha_hm,nan,nan,nan,nan,-0.006,0.006
COS4_16369,nan,nan,nan,nan,nan,nan
fmos_sf_strong_76_sha_mm,nan,nan,nan,nan,0.010,0.012
fmos_sf_strong_27_sha_lm,nan,nan,nan,nan,0.005,0.024

