name,H,YJ,IZ
cdfs_24904,1,1,1
cdfs_26404,1,1,1
cdfs_26954,1,1,1
cdfs_27318,1,1,1
cdfs_28138,1,1,1
cdfs_29207,1,1,0
cdfs_29589,1,1,1
cdfs_29831,1,1,1
cdfs_30267,1,1,1
cdfs_30450,1,1,1
cdfs_30557,0,0,1
cdfs_30561,1,1,1
cdfs_30732,1,1,1
cdfs_30865,1,1,1
cdfs_31127,1,1,1
cdfs_31671,1,1,1
cdfs_31721,1,1,1
cdfs_33014,1,1,0
cdfs_33246,1,1,0
cdfs_35213,1,1,1
GS4_10784,1,1,0
GS4_16960,1,1,1
